 Pressure(dbar)  Temperature(°C)  Salinity(PSU)
     237.399994        14.596000      34.976002
     262.799988        13.576000      34.983002
     287.799988        12.842000      35.005001
     312.600006        12.372000      35.025002
     337.399994        11.885000      35.028999
     362.799988        11.457000      35.032001
     388.399994        11.180000      35.030998
     413.200012        10.950000      35.030998
     437.799988        10.740000      35.035999
     462.700012        10.572000      35.036999
     488.100006        10.399000      35.032001
     513.099976        10.231000      35.029999
     537.799988        10.063000      35.028999
     562.799988         9.853000      35.025002
     588.099976         9.690000      35.021999
     613.099976         9.483000      35.015999
     638.700012         9.186000      35.004002
     662.799988         8.952000      35.000000
     687.799988         8.775000      34.995998
     712.900024         8.620000      34.988998
     737.599976         8.448000      34.983002
     762.799988         8.309000      34.979000
     788.299988         8.147000      34.974998
     813.099976         8.028000      34.971001
     837.900024         7.863000      34.966999
     863.000000         7.665000      34.959999
     887.700012         7.458000      34.952999
     913.400024         7.252000      34.948002
     937.799988         7.098000      34.945000
     962.799988         6.958000      34.939999
     987.900024         6.787000      34.933998
    1012.799988         6.636000      34.928001
    1037.500000         6.506000      34.923000
    1062.900024         6.394000      34.917999
    1088.000000         6.266000      34.911999
    1113.000000         6.146000      34.907001
    1138.099976         6.021000      34.903000
    1162.800049         5.907000      34.898998
    1187.400024         5.788000      34.894001
    1212.900024         5.683000      34.889999
    1238.099976         5.563000      34.884998
    1263.000000         5.454000      34.881001
    1288.000000         5.340000      34.876999
    1313.099976         5.234000      34.874001
    1337.900024         5.120000      34.869999
    1362.900024         5.041000      34.867001
    1388.099976         4.940000      34.862999
    1412.800049         4.824000      34.859001
    1437.800049         4.703000      34.854000
    1462.800049         4.567000      34.849998
    1488.500000         4.479000      34.846001
    1512.900024         4.396000      34.842999
    1537.800049         4.296000      34.839001
    1562.800049         4.168000      34.834000
    1587.599976         4.042000      34.828999
    1612.800049         3.951000      34.826000
    1638.099976         3.827000      34.821999
    1663.199951         3.712000      34.817001
    1688.000000         3.607000      34.813000
    1713.199951         3.498000      34.807999
    1737.800049         3.411000      34.804001
    1762.900024         3.322000      34.800999
    1788.599976         3.240000      34.797001
    1812.900024         3.152000      34.792999
    1838.000000         3.077000      34.790001
    1863.099976         3.025000      34.787998
    1888.199951         2.974000      34.785000
    1912.900024         2.919000      34.783001
    1937.800049         2.872000      34.780998
    1956.000000         2.839000      34.779999
            NaN              NaN            NaN
            NaN              NaN            NaN
       0.400000        28.424000      33.879002
       1.000000        28.424999      33.879002
       1.800000        28.424999      33.877998
       2.600000        28.424999      33.877998
       3.900000        28.422001      33.879002
       5.400000        28.423000      33.880001
       6.300000        28.423000      33.879002
       7.400000        28.423000      33.880001
       8.400000        28.423000      33.881001
       9.400000        28.424000      33.881001
      10.400000        28.426001      33.881001
      15.900000        28.427999      33.881001
      25.600000        28.426001      33.881001
      35.400002        28.386000      33.868999
      45.799999        28.344999      33.861000
      55.700001        28.337000      33.867001
      65.599998        28.572001      34.020000
      75.599998        28.507000      34.103001
      85.500000        27.424000      33.848999
      95.199997        26.791000      33.894001
     105.699997        26.389999      34.096001
     115.199997        26.538000      34.608002
     125.900002        24.988001      34.396999
     135.800003        23.136000      34.617001
     145.699997        20.788000      34.820999
     155.000000        19.344999      34.948002
     165.100006        18.558001      34.917999
     175.000000        17.898001      34.925999
     185.100006        17.191999      34.910999
     195.199997        16.570999      34.930000
     213.600006        15.851000      34.991001
     237.899994        14.485000      34.980999
     263.100006        13.457000      34.988998
     287.899994        12.672000      35.014999
     312.899994        12.247000      35.025002
     338.100006        11.915000      35.028999
     362.899994        11.581000      35.034000
     387.700012        11.287000      35.030998
     412.799988        11.010000      35.032001
     437.700012        10.787000      35.035000
     462.700012        10.609000      35.039001
     487.799988        10.363000      35.030998
     513.599976        10.127000      35.028999
     537.500000         9.915000      35.026001
     562.700012         9.706000      35.021999
     587.700012         9.508000      35.018002
     612.700012         9.325000      35.014000
     637.700012         9.095000      35.006001
     663.000000         8.872000      34.997002
     687.599976         8.665000      34.991001
     712.799988         8.469000      34.987000
     737.900024         8.317000      34.981998
     763.000000         8.178000      34.976002
     788.000000         8.002000      34.970001
     813.000000         7.816000      34.965000
     838.200012         7.663000      34.959999
     862.700012         7.442000      34.952999
     887.400024         7.263000      34.948002
     912.500000         7.102000      34.943001
     937.500000         6.933000      34.937000
     962.900024         6.786000      34.932999
     987.799988         6.618000      34.926998
    1012.900024         6.437000      34.919998
    1037.599976         6.278000      34.912998
    1062.800049         6.152000      34.908001
    1088.300049         6.023000      34.903000
    1113.099976         5.911000      34.898998
    1138.099976         5.796000      34.894001
    1163.199951         5.676000      34.889000
    1187.800049         5.576000      34.884998
    1212.400024         5.461000      34.881001
    1237.500000         5.332000      34.876999
    1263.199951         5.210000      34.873001
    1287.599976         5.106000      34.868999
    1312.900024         5.014000      34.866001
    1337.900024         4.931000      34.862999
    1363.099976         4.854000      34.860001
    1388.199951         4.753000      34.856998
    1413.199951         4.664000      34.854000
    1437.900024         4.572000      34.849998
    1462.699951         4.455000      34.846001
    1487.699951         4.367000      34.841999
    1512.599976         4.270000      34.838001
    1537.599976         4.135000      34.833000
    1563.300049         4.024000      34.828999
    1587.800049         3.917000      34.825001
    1612.800049         3.794000      34.820000
    1637.599976         3.696000      34.816002
    1663.000000         3.593000      34.812000
    1688.000000         3.529000      34.808998
    1712.699951         3.404000      34.804001
    1737.699951         3.302000      34.799999
    1762.900024         3.205000      34.796001
    1788.099976         3.100000      34.791000
    1812.900024         3.041000      34.789001
    1837.500000         2.994000      34.786999
    1862.800049         2.936000      34.784000
    1888.000000         2.873000      34.780998
    1912.699951         2.813000      34.778999
    1937.500000         2.760000      34.776001
    1963.400024         2.708000      34.773998
    1987.900024         2.654000      34.771999
    2013.199951         2.607000      34.769001
       0.200000        28.719999      33.721001
       0.900000        28.719000      33.723000
       1.800000        28.724001      33.720001
       2.900000        28.725000      33.720001
       4.100000        28.725000      33.721001
       5.000000        28.726000      33.720001
       5.900000        28.725000      33.721001
       6.900000        28.726999      33.720001
       8.000000        28.723000      33.720001
       9.200000        28.721001      33.720001
      10.100000        28.724001      33.720001
      15.100000        28.694000      33.729000
      24.900000        28.580000      33.754002
      35.299999        28.514999      33.764000
      45.599998        28.497000      33.779999
      55.299999        28.445999      33.868000
      65.599998        28.483999      34.048000
      76.099998        27.902000      33.969002
      85.000000        25.646000      34.214001
      94.900002        23.193001      34.726002
     105.699997        22.230000      34.888000
     115.300003        20.917999      34.914001
     125.699997        19.837000      34.897999
     135.399994        18.539000      34.952999
     145.199997        17.510000      34.938000
     155.399994        16.830999      34.936001
     165.300003        16.305000      34.941002
     175.800003        15.783000      34.943001
     185.800003        15.389000      34.931999
     195.899994        15.011000      34.974998
     212.699997        14.442000      34.977001
     237.699997        13.456000      34.987999
     262.899994        12.727000      35.011002
     288.000000        12.197000      35.023998
     313.000000        11.909000      35.032001
     338.100006        11.560000      35.034000
