                         Date  Latitude  Longitude  Pressure(dbar)  Temperature(°C)  Salinity(PSU)
2025-01-05 20:08:02.002157056  26.94225  -26.59429      256.000000        16.402000      36.028000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      258.000000        16.392000      36.025002
2025-01-05 20:08:02.002157056  26.94225  -26.59429      260.000000        16.363001      36.018002
2025-01-05 20:08:02.002157056  26.94225  -26.59429      262.000000        16.292999      36.006001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      263.959991        16.233000      35.998001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      265.959991        16.202999      35.993000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      268.000000        16.183001      35.988998
2025-01-05 20:08:02.002157056  26.94225  -26.59429      270.000000        16.158001      35.984001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      272.000000        16.121000      35.978001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      274.000000        16.094000      35.973999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      275.959991        16.066999      35.970001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      277.959991        16.007999      35.959999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      280.000000        15.997000      35.957001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      282.040009        15.913000      35.943001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      284.040009        15.862000      35.932999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      286.000000        15.843000      35.929001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      288.000000        15.806000      35.922001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      290.000000        15.757000      35.914001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      291.959991        15.700000      35.907001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      293.959991        15.648000      35.898998
2025-01-05 20:08:02.002157056  26.94225  -26.59429      296.000000        15.628000      35.896999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      298.040009        15.607000      35.894001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      300.000000        15.597000      35.890999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      302.000000        15.555000      35.884998
2025-01-05 20:08:02.002157056  26.94225  -26.59429      304.000000        15.529000      35.881001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      306.000000        15.508000      35.877998
2025-01-05 20:08:02.002157056  26.94225  -26.59429      308.000000        15.458000      35.868999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      310.000000        15.417000      35.861000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      312.000000        15.381000      35.855000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      314.040009        15.335000      35.848999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      316.040009        15.296000      35.841999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      318.000000        15.259000      35.835999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      320.040009        15.207000      35.827999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      322.040009        15.182000      35.823002
2025-01-05 20:08:02.002157056  26.94225  -26.59429      323.959991        15.125000      35.813999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      325.959991        15.067000      35.805000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      328.000000        14.996000      35.794998
2025-01-05 20:08:02.002157056  26.94225  -26.59429      330.000000        14.952000      35.787998
2025-01-05 20:08:02.002157056  26.94225  -26.59429      332.040009        14.917000      35.782001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      334.000000        14.870000      35.775002
2025-01-05 20:08:02.002157056  26.94225  -26.59429      336.000000        14.818000      35.766998
2025-01-05 20:08:02.002157056  26.94225  -26.59429      338.000000        14.784000      35.762001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      339.959991        14.747000      35.756001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      342.000000        14.711000      35.750999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      344.000000        14.685000      35.747002
2025-01-05 20:08:02.002157056  26.94225  -26.59429      345.959991        14.664000      35.743000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      348.000000        14.642000      35.738998
2025-01-05 20:08:02.002157056  26.94225  -26.59429      350.000000        14.606000      35.733002
2025-01-05 20:08:02.002157056  26.94225  -26.59429      351.959991        14.583000      35.730000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      353.959991        14.571000      35.728001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      355.959991        14.527000      35.722000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      357.959991        14.490000      35.716999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      360.040009        14.476000      35.714001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      362.000000        14.444000      35.708000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      363.959991        14.419000      35.702999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      365.959991        14.330000      35.691002
2025-01-05 20:08:02.002157056  26.94225  -26.59429      368.000000        14.278000      35.682999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      370.000000        14.231000      35.676998
2025-01-05 20:08:02.002157056  26.94225  -26.59429      372.000000        14.201000      35.672001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      374.040009        14.168000      35.667000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      376.000000        14.144000      35.662998
2025-01-05 20:08:02.002157056  26.94225  -26.59429      377.959991        14.098000      35.657001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      379.959991        14.074000      35.653000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      381.959991        14.053000      35.648998
2025-01-05 20:08:02.002157056  26.94225  -26.59429      384.000000        14.039000      35.646999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      386.040009        14.014000      35.643002
2025-01-05 20:08:02.002157056  26.94225  -26.59429      388.000000        13.959000      35.636002
2025-01-05 20:08:02.002157056  26.94225  -26.59429      390.000000        13.928000      35.631001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      392.000000        13.921000      35.630001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      393.959991        13.916000      35.627998
2025-01-05 20:08:02.002157056  26.94225  -26.59429      396.000000        13.900000      35.625000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      398.000000        13.863000      35.619999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      400.000000        13.839000      35.616001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      402.000000        13.769000      35.608002
2025-01-05 20:08:02.002157056  26.94225  -26.59429      404.040009        13.731000      35.604000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      406.040009        13.714000      35.601002
2025-01-05 20:08:02.002157056  26.94225  -26.59429      408.040009        13.675000      35.595001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      410.040009        13.647000      35.591000
